2014-06-05 21:00:33.791 [error] <0.57.0>@lager_handler_watcher:98 Lager fatally failed to install handler lager_console_backend into lager_event, NOT retrying: old_shell
2014-06-05 21:00:33.791 [warning] <0.52.0>@lager_console_backend:64 Lager's console backend is incompatible with the 'old' shell, not enabling it
2014-06-05 21:01:05.983 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,89,59}
2014-06-05 21:01:06.187 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,90,59}
2014-06-05 21:01:06.382 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,91,59}
2014-06-05 21:01:06.581 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,92,59}
2014-06-05 21:01:06.784 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"];^;_;"}
2014-06-05 21:01:06.784 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,93,59}
2014-06-05 21:01:06.784 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,94,59}
2014-06-05 21:01:06.997 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,59}
2014-06-05 21:01:08.811 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"_;_:_9_8_7_6_5_4"}
2014-06-05 21:01:08.811 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,59}
2014-06-05 21:01:09.026 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,58}
2014-06-05 21:01:09.221 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,57}
2014-06-05 21:01:09.427 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,56}
2014-06-05 21:01:09.630 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,55}
2014-06-05 21:01:09.825 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,54}
2014-06-05 21:01:10.034 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,95,53}
